url,exterior,interior,diegetic,melodic,intense,mood (0-10),description
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/1%2C20+(opening+music)+The_Conet_Project_-_21_-_eastern_music_station.m4a,,true,false,true,7,7,eastern music station
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/10.+EON_-_02_-_tainted_noise_nap_-_part_2.m4a,true,,true,false,5,5,"slow noise, murmors"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/14.+The_Conet_Project_-_35_-_okno_okno_onko.m4a,,true,false,false,6,6,voice calling okno okno okno
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/30.+Lyn_Goeringer_-_Sleeper_Train.m4a,true,true,true,false,5,5,"pulsing radar like sounds, abstract"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/30.+EON_-_02_-_tainted_noise_nap_-_part_2.m4a,true,,true,false,4,4,"noise, soft, murmors"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/60.+Lyn_Goeringer_-_Walking_Commute.m4a,true,,true,false,1,1,"super soft noise, almost not hearable"
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/104587__meral__pianokeys-meral.mp3,,,,true,,,
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/253762__hwwesthoff__plane-inside.mp3,false,true,true,false,,,
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/64828__casualsamples__pianos-y-teclados-8.mp3,,,,true,,,
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/piano5.mp3,,,,true,,,
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/pinao4.mp3,,,,true,,,
https://s3-eu-west-1.amazonaws.com/serf.club.audio/audio/new/plane1.mp3,false,true,,false,,,
